Country_Region,Case_Type,Date,Cases,Table Names,Difference,Prep_Flow_Runtime,Latest_Date,Province_State,Lat,Long
US,Confirmed,2/22/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/13/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/5/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/21/2020,36,Time Series,13,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/15/2020,5,Time Series,3,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/18/2020,9,Time Series,1,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/18/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/4/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/25/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/7/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/22/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/1/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/8/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/12/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/23/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/13/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/2/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/11/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/13/2020,1,Time Series,1,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/24/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/23/2020,191,Daily Summary,30,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/23/2020,5,Daily Summary,1,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/24/2020,210,Daily Summary,19,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/24/2020,8,Daily Summary,3,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/11/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/14/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/28/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/15/2020,36,Time Series,4,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/10/2020,15,Time Series,1,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/5/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/4/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/24/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/23/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/8/2020,14,Time Series,8,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/3/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,1/29/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/6/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,1/29/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,1/28/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,1/31/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/21/2020,5,Time Series,2,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/7/2020,6,Time Series,3,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/20/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/21/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/12/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/8/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/15/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/12/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/18/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/1/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/11/2020,19,Time Series,4,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/13/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/7/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/27/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/14/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/11/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/4/2020,3,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/24/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,1/27/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/9/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/29/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/26/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/2/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/2/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/22/2020,4,Time Series,-1,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/19/2020,88,Time Series,20,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/14/2020,32,Time Series,2,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/3/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/9/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,2/16/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/5/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,1/31/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/21/2020,114,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/6/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Confirmed,3/3/2020,3,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,3/17/2020,1,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
US,Deaths,2/4/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Oregon,44.31683,-122.15308
