Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Taiwan*,2021-06-30 11:21:36,23.7,121.0,14748.0,643.0,10086,4019,61.92274142909777,,,4.359913208570654,158,TWN
Tajikistan,2021-06-30 11:21:36,38.861,71.2761,13478.0,90.0,13284,104,141.31375448984141,,,0.6677548597714794,762,TJK
Tanzania,2021-06-30 11:21:36,-6.369028,34.888822,509.0,21.0,183,305,0.852107987092757,,,4.12573673870334,834,TZA
Thailand,2021-06-30 11:21:36,15.870032,100.992541,259301.0,2023.0,26873,230405,371.4915211004794,,,0.7801743919229004,764,THA
Timor-Leste,2021-06-30 11:21:36,-8.874217,125.727539,9118.0,22.0,8306,790,691.573842459509,,,0.24128098267163853,626,TLS
Togo,2021-06-30 11:21:36,8.6195,0.8248,13881.0,129.0,13506,246,167.67050336301298,,,0.929327858223471,768,TGO
Trinidad and Tobago,2021-06-30 11:21:36,10.6918,-61.2225,32528.0,833.0,24518,7177,2324.273610905679,,,2.560870634530251,780,TTO
Tunisia,2021-06-30 11:21:36,33.886917,9.537499,414182.0,14843.0,352180,47159,3504.4875805276047,,,3.583690261768981,788,TUN
Turkey,2021-06-30 11:21:36,38.9637,35.2433,5420156.0,49687.0,5287094,83375,6426.625516262825,,,0.9167079323916139,792,TUR
US,2021-06-30 11:21:36,40.0,-100.0,33653105.0,604476.0,,,10214.430652377258,,,1.796196814528704,840,USA
Uganda,2021-06-30 11:21:36,1.373333,32.290275,79434.0,989.0,52382,26063,173.66039220830328,,,1.2450587909459425,800,UGA
Ukraine,2021-06-30 11:21:36,48.3794,31.1656,2300101.0,54581.0,2224778,20742,5259.326096345846,,,2.372982751626994,804,UKR
United Arab Emirates,2021-06-30 11:21:36,23.424076,53.847818000000004,632907.0,1811.0,611442,19654,6399.205289978161,,,0.2861399858115015,784,ARE
United Kingdom,2021-06-30 11:21:36,55.0,-3.0,4791628.0,128390.0,15734,4647504,7058.344456391925,,,2.679465100379245,826,GBR
Uruguay,2021-06-30 11:21:36,-32.5228,-55.7658,368178.0,5558.0,346857,15763,10598.933076778918,,,1.5095959019821934,858,URY
Uzbekistan,2021-06-30 11:21:36,41.377491,64.585262,110677.0,736.0,107063,2878,330.68314541976343,,,0.6649981477633112,860,UZB
Vanuatu,2021-06-30 11:21:36,-15.3767,166.9592,4.0,1.0,3,0,1.3666803334700013,,,25.0,548,VUT
Venezuela,2021-06-30 11:21:36,6.4238,-66.5897,271679.0,3101.0,252784,15794,955.4070353847593,,,1.141420573544514,862,VEN
Vietnam,2021-06-30 11:21:36,14.058323999999999,108.277199,16507.0,80.0,6764,9663,16.958331928871413,,,0.48464287877869994,704,VNM
West Bank and Gaza,2021-06-30 11:21:36,31.9522,35.2332,313851.0,3561.0,307892,2398,6152.2330270654265,,,1.1346148331533117,275,PSE
Yemen,2021-06-30 11:21:36,15.552726999999999,48.516388,6918.0,1361.0,4055,1502,23.194553149121596,,,19.67331598727956,887,YEM
Zambia,2021-06-30 11:21:36,-13.133897,27.849332,152056.0,2138.0,128312,21606,827.1125104955647,,,1.406060924922397,894,ZMB
Zimbabwe,2021-06-30 11:21:36,-19.015438,29.154857,48533.0,1761.0,38323,8449,326.5372964558058,,,3.6284589866688646,716,ZWE
