Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Reunion,France,2021-04-15 06:30:33,-21.1151,55.5364,18425,135,16794,1496.0,,2057.9510068043624,,,0.7327001356852103,638,REU,,
Saint Barthelemy,France,2021-04-15 06:30:33,17.9,-62.8333,907,1,462,444.0,,9175.51846231664,,,0.11025358324145534,652,BLM,,
Saint Pierre and Miquelon,France,2021-04-15 06:30:33,46.8852,-56.3159,24,0,24,0.0,,414.15012942191544,,,0.0,666,SPM,,
St Martin,France,2021-04-15 06:30:33,18.0708,-63.0501,1693,12,1399,282.0,,4379.316588633953,,,0.7088009450679268,663,MAF,,
Wallis and Futuna,France,2021-04-15 06:30:33,-14.2938,-178.1165,437,5,44,388.0,,2858.264111452678,,,1.1441647597254005,876,WLF,,
Baden-Wurttemberg,Germany,2021-04-15 06:30:33,48.6616,9.3501,396572,9007,354200,33365.0,,3582.554024636812,,,2.2712143066076274,27601,DEU,,
Bayern,Germany,2021-04-15 06:30:33,48.7904,11.4979,541913,13658,485200,43055.0,,4144.1046268403215,,,2.520330754198552,27602,DEU,,
Berlin,Germany,2021-04-15 06:30:33,52.52,13.405,156006,3134,143300,9572.0,,4280.204322510869,,,2.0088970937015245,27603,DEU,,
Brandenburg,Germany,2021-04-15 06:30:33,52.4125,12.5316,94981,3430,84200,7351.0,,3781.21570099649,,,3.6112485655025743,27604,DEU,,
Bremen,Germany,2021-04-15 06:30:33,53.0793,8.8017,22923,428,20690,1805.0,,3356.2913441856786,,,1.8671203594642936,27605,DEU,,
Hamburg,Germany,2021-04-15 06:30:33,53.5511,9.9937,66675,1423,57600,7652.0,,3621.32090361665,,,2.134233220847394,27606,DEU,,
Hessen,Germany,2021-04-15 06:30:33,50.6521,9.1624,238586,6565,210700,21321.0,,3807.7445386541467,,,2.751628343658052,27607,DEU,,
Mecklenburg-Vorpommern,Germany,2021-04-15 06:30:33,53.6127,12.4296,35100,920,30510,3670.0,,2180.564399645891,,,2.6210826210826212,27608,DEU,,
Niedersachsen,Germany,2021-04-15 06:30:33,52.6367,9.8451,215705,5104,195400,15201.0,,2702.241217230604,,,2.3661945712894927,27609,DEU,,
Nordrhein-Westfalen,Germany,2021-04-15 06:30:33,51.4332,7.6616,663755,14761,593600,55394.0,,3701.37689067835,,,2.2238627204314847,27610,DEU,,
Rheinland-Pfalz,Germany,2021-04-15 06:30:33,50.1183,7.309,126610,3422,112700,10488.0,,3099.506370377914,,,2.7027880894084197,27611,DEU,,
Saarland,Germany,2021-04-15 06:30:33,49.3964,7.023,33998,954,31230,1814.0,,3432.3766871376233,,,2.8060474145537975,27612,DEU,,
Sachsen,Germany,2021-04-15 06:30:33,51.1045,13.2017,240466,8654,214100,17712.0,,5896.756129386011,,,3.5988455748421813,27613,DEU,,
Sachsen-Anhalt,Germany,2021-04-15 06:30:33,51.9503,11.6923,81135,2914,71510,6711.0,,3674.058255117802,,,3.5915449559376347,27614,DEU,,
Schleswig-Holstein,Germany,2021-04-15 06:30:33,54.2194,9.6961,54142,1471,48160,4511.0,,1869.0846725528806,,,2.7169295556130177,27615,DEU,,
Thuringen,Germany,2021-04-15 06:30:33,51.011,10.8453,105161,3583,91840,9738.0,,4906.854179255253,,,3.4071566455244815,27616,DEU,,
Unknown,Germany,2021-04-15 06:30:33,,,11414,0,,11414.0,,,,,0.0,27617,DEU,,
Andaman and Nicobar Islands,India,2021-04-15 06:30:33,11.225999,92.96817800000001,5247,63,5078,106.0,,1258.1647627542945,,,1.2006861063464838,35601,IND,,
Andhra Pradesh,India,2021-04-15 06:30:33,15.9129,79.74,937049,7339,901327,28383.0,,1738.3859305480084,,,0.7832034397347417,35602,IND,,
Arunachal Pradesh,India,2021-04-15 06:30:33,27.768456,96.384277,16912,56,16792,64.0,,1076.8833041061907,,,0.33112582781456956,35603,IND,,
Assam,India,2021-04-15 06:30:33,26.357149,92.83044100000001,221868,1122,216199,4547.0,,623.1015165287964,,,0.5057060955162529,35604,IND,,
